%  ./pipe-6-08192   ./pipe-6-08192/extracted_timings-e732842.csv 
%
% Summary Statistics:
% operation,  mean,  min,  max, std
% -------------------------------------------------------------------
% CTH_TIMINGS       ,  12.7760985263158 ,  12.084321 ,  15.015918 ,  0.810680974004939 
% PVSPY_VIZ_TIMINGS ,  11.1282038421053 ,  3.3e-05 ,  12.533445 ,  2.75406964942334 
% -------------------------------------------------------------------
"cycle","cth","viz"
10,12.798585,11.397637
20,15.015918,12.533445
30,12.400949,12.16607
40,12.517122,12.166945
50,12.327822,12.189599
60,12.559504,12.028523
70,12.375661,12.006439
80,12.40267,12.026694
90,12.474539,11.831509
100,12.381747,12.040272
110,12.348003,12.008636
120,12.465761,11.930959
130,12.448347,11.69112
140,13.353989,10.849374
150,12.341769,11.31404
160,14.524597,9.993658
170,12.084321,11.576195
180,12.157387,11.684725
190,13.767181,3.3e-05
